,price,id,host_listings_count,cleaning_fee,security_deposit,accommodates,bedrooms,minimum_nights,guests_included,reviews_per_month,calculated_host_listings_count,room_type_Shared_room,room_type_Private_room,room_type_Hotel_room,host_response_time_unknown,host_response_time_within_a_day,host_response_time_within_a_few_hours,host_response_time_within_an_hour
129,80,611509,1,40,200,2,1,2,1,0.94,1,0,1,0,0,0,0,1
130,84,613020,1,13,0,2,0,3,1,1.8,1,0,1,0,0,0,0,1
131,150,631445,1,75,0,4,1,30,3,1.87,1,0,0,0,1,0,0,0
132,89,635878,62,60,100,3,0,81,1,0.37,53,0,0,0,0,0,0,1
133,215,637710,2,60,0,8,3,6,8,1.23,2,0,0,0,0,0,1,0
134,250,639130,1,100,0,8,4,3,1,0.3,1,0,0,0,0,1,0,0
135,75,649243,1,10,0,1,1,3,1,2.91,1,0,1,0,0,0,0,1
136,140,657257,1,100,500,4,1,2,4,0.32,1,0,0,0,0,0,0,1
137,100,658540,5,20,200,2,1,1,2,1.21,4,0,1,0,0,0,0,1
138,229,661708,2,125,250,6,2,3,4,0.55,1,0,0,0,1,0,0,0
139,65,671828,2,10,800,2,1,1,2,0.02,2,0,1,0,1,0,0,0
140,60,677266,8,10,100,2,1,2,1,1.01,8,0,1,0,0,0,1,0
141,89,677365,1,60,0,6,2,1,4,5.15,1,0,0,0,0,0,0,1
142,95,699460,1,40,0,2,1,2,2,2.88,1,0,1,0,0,0,1,0
143,165,703058,1,65,600,4,2,2,2,1.82,1,0,0,0,0,0,1,0
144,145,704764,1,85,450,5,2,1,2,3.05,1,0,0,0,0,0,0,1
145,155,706385,1,60,300,2,1,2,2,5.42,1,0,0,0,0,0,0,1
146,105,708774,6,100,500,4,1,30,2,1.54,6,0,0,0,0,0,0,1
147,199,710370,7,190,500,6,2,2,1,0.34,7,0,0,0,0,0,1,0
148,225,722537,2,125,0,6,2,4,1,0.85,1,0,0,0,0,0,1,0
149,333,723723,2,88,500,1,1,14,2,0.59,2,0,0,0,1,0,0,0
150,129,723846,1,65,300,3,0,2,2,1.39,1,0,0,0,0,0,0,1
151,164,741699,1,80,0,4,2,2,1,2.52,1,0,0,0,0,0,0,1
152,81,748526,1,100,200,2,1,1,2,1.01,1,0,0,0,1,0,0,0
153,225,752483,2,125,500,4,2,1,4,2.12,2,0,0,0,0,0,0,1
154,89,755613,2,40,250,2,1,2,2,1.04,2,0,1,0,0,0,1,0
155,300,757840,3,100,500,10,4,2,8,3.81,1,0,0,0,0,0,0,1
156,86,760471,1,85,500,2,1,30,2,0.48,1,0,0,0,0,0,1,0
157,140,769213,1,62,0,2,0,3,1,6.13,1,0,0,0,0,0,0,1
158,150,777159,1,65,250,4,1,1,1,0.48,1,0,0,0,0,0,0,1
159,200,784579,1,75,300,8,2,2,4,0.01,1,0,0,0,1,0,0,0
160,70,788146,1,25,0,2,1,5,1,0.33,1,0,1,0,1,0,0,0
161,149,789229,1,75,200,4,1,2,4,1.55,1,0,0,0,0,0,0,1
162,105,793629,1,65,200,2,1,2,1,3.32,1,0,0,0,0,0,1,0
163,118,794633,1,20,0,2,1,2,2,6.51,1,0,0,0,0,0,0,1
164,55,797358,2,0,0,2,1,2,2,2.69,2,0,1,0,0,0,0,1
165,280,803902,1,175,200,6,3,3,1,0.21,1,0,0,0,1,0,0,0
166,137,808134,57,130,500,6,2,2,1,1.15,53,0,0,0,0,0,0,1
167,115,828298,57,130,500,5,2,3,1,0.62,53,0,0,0,0,0,0,1
168,82,841274,1,60,0,4,1,3,2,1.51,1,0,0,0,0,0,1,0
169,155,844939,3,115,0,4,1,2,1,1.32,3,0,0,0,0,0,0,1
170,50,846763,2,50,200,2,1,30,1,0.79,1,0,1,0,0,0,1,0
171,60,877203,2,30,0,2,1,2,1,0.94,2,0,1,0,0,0,0,1
172,60,879181,2,30,95,2,1,2,1,1.0,2,0,1,0,0,0,0,1
173,178,890677,1,43,500,6,2,3,2,1.32,1,0,0,0,0,0,0,1
174,200,902243,4,115,200,7,2,1,1,1.0,4,0,0,0,0,0,1,0
175,68,902609,1,150,100,2,1,2,1,2.35,1,0,0,0,0,0,0,1
176,85,904057,1,35,100,3,1,3,2,4.34,1,0,0,0,0,0,0,1
177,99,909102,1,35,450,2,1,3,2,2.17,1,0,1,0,0,1,0,0
178,999,922986,1795,99,0,6,2,2,1,1.12,92,0,0,0,0,0,0,1
179,999,931785,1795,99,0,6,2,2,1,1.12,92,0,0,0,0,0,0,1
180,999,934123,1795,99,0,6,2,2,1,0.53,92,0,0,0,0,0,0,1
181,999,935432,1795,99,0,6,2,2,1,0.39,92,0,0,0,0,0,0,1
182,999,935671,1795,99,0,6,2,2,1,1.31,92,0,0,0,0,0,0,1
183,999,936177,1795,99,0,6,2,2,1,0.51,92,0,0,0,0,0,0,1
184,98,942490,1,50,0,6,1,2,2,1.49,1,0,1,0,0,0,1,0
185,99,948077,1,40,175,2,1,2,1,3.86,1,0,0,0,0,0,0,1
186,180,955506,1,90,300,4,2,4,4,0.7,1,0,0,0,0,0,0,1
187,100,973859,4,100,250,6,2,2,3,3.18,4,0,0,0,0,0,0,1
188,80,977722,1,30,100,2,1,2,1,1.77,1,0,0,0,0,0,0,1
189,85,995443,1,20,100,2,1,3,2,0.68,1,0,0,0,0,0,0,1
190,100,1000883,1,50,200,2,0,2,2,2.15,1,0,0,0,0,0,0,1
191,150,1002835,4,180,400,4,2,7,4,1.02,1,0,0,0,0,0,0,1
192,99,1003890,3,109,200,6,3,2,3,2.55,3,0,0,0,0,0,0,1
193,70,1009838,2,40,150,2,1,2,2,2.62,2,0,1,0,0,0,0,1
194,145,1012003,1,0,0,4,1,2,2,0.44,1,0,1,0,0,0,0,1
195,55,1022135,1,50,250,2,1,2,1,0.12,1,0,1,0,0,1,0,0
196,90,1023693,2,85,500,2,1,3,2,3.33,2,0,0,0,0,0,0,1
197,215,1030411,1,150,0,4,2,4,1,0.09,1,0,0,0,0,0,1,0
198,66,1039766,1,50,500,2,1,1,1,3.77,1,0,0,0,1,0,0,0
199,89,1042022,1,35,200,2,1,2,2,3.21,1,0,0,0,0,0,0,1
200,155,1043194,3,75,100,4,1,3,2,0.65,3,0,0,0,0,0,0,1
201,129,1048798,1,125,500,4,1,2,4,3.41,1,0,0,0,0,0,0,1
202,95,1049293,3,75,5000,2,1,1,1,0.95,2,0,0,0,0,0,0,1
203,85,1071203,3,40,150,2,1,2,1,0.77,3,0,1,0,0,0,0,1
204,999,1084117,1795,99,0,6,2,2,1,0.23,92,0,0,0,0,0,0,1
205,135,1090449,2,60,300,4,1,2,2,3.92,2,0,0,0,0,0,0,1
206,92,1097520,1,50,400,2,1,2,2,2.74,1,0,0,0,0,0,1,0
207,48,1097766,3,20,0,2,1,1,2,3.52,3,0,1,0,0,0,0,1
208,65,1100686,3,40,100,3,1,3,2,4.78,3,0,1,0,0,0,0,1
209,325,1110749,13,100,500,6,3,1,6,3.89,13,0,0,0,0,0,0,1
210,135,1112092,1,100,140,3,1,6,2,0.58,1,0,0,0,0,0,1,0
211,212,1114695,8,99,250,7,3,4,6,0.85,5,0,0,0,0,0,0,1
212,129,1121599,1,40,1000,4,1,1,2,5.22,1,0,0,0,0,0,0,1
213,274,1121819,1,25,500,8,3,1,4,1.03,1,0,0,0,0,0,0,1
214,119,1122236,7,99,200,4,1,1,1,1.57,7,0,0,0,0,0,1,0
215,150,1136984,1,50,0,4,1,3,2,2.93,1,0,0,0,1,0,0,0
216,174,1141226,8,75,0,4,1,30,1,0.76,6,0,0,0,0,1,0,0
217,50,1142039,2,10,0,1,1,1,1,0.88,2,0,1,0,0,0,1,0
218,425,1145148,1,100,200,6,3,4,1,0.2,1,0,0,0,1,0,0,0
219,60,1146966,3,40,100,3,1,3,2,3.45,3,0,1,0,0,0,0,1
220,300,1150519,1,150,500,7,3,2,4,0.22,1,0,0,0,0,0,1,0
221,285,1157083,3,120,200,6,2,3,4,0.71,3,0,0,0,0,0,0,1
222,204,1159111,8,100,0,6,2,3,1,1.33,6,0,0,0,0,1,0,0
223,174,1159226,8,75,0,4,2,30,1,0.89,6,0,0,0,0,1,0,0
224,125,1163345,8,10,0,2,1,1,1,4.85,7,0,0,0,0,0,0,1
225,65,1171574,2,0,0,2,1,2,2,5.44,2,0,1,0,0,0,0,1
226,130,1175308,1,100,250,4,2,6,2,0.17,1,0,0,0,1,0,0,0
227,60,1190224,2,0,0,1,1,1,1,0.41,2,0,1,0,0,0,1,0
228,60,1198799,1,20,100,2,1,3,1,0.56,1,0,1,0,1,0,0,0
229,999,1200083,1795,99,0,4,1,2,1,0.32,92,0,0,0,0,0,0,1
230,149,1209447,1,70,100,6,3,4,2,0.13,1,0,0,0,1,0,0,0
231,109,1219691,1,100,250,4,2,2,4,0.76,1,0,0,0,0,1,0,0
232,400,1220471,2,120,2000,3,2,3,3,0.08,1,0,0,0,1,0,0,0
233,89,1220816,1,45,0,7,2,1,2,0.75,1,0,0,0,0,0,0,1
234,105,1225820,1,70,200,2,1,3,1,2.34,1,0,0,0,0,1,0,0
235,129,1246769,3,50,250,2,1,3,2,4.64,2,0,0,0,0,0,0,1
236,89,1252740,1,15,0,3,1,2,2,3.05,1,0,1,0,0,0,0,1
237,100,1256892,1,25,100,4,1,2,2,2.57,1,0,0,0,0,0,0,1
238,275,1273432,1,275,500,6,2,3,4,0.4,1,0,0,0,0,0,0,1
239,99,1279660,1,25,250,2,0,1,1,6.33,1,0,0,0,1,0,0,0
240,275,1289082,11,90,400,6,3,2,4,0.9,5,0,0,0,0,0,0,1
241,93,1298827,3,50,200,2,1,2,1,1.6,3,0,0,0,0,0,1,0
242,105,1301535,2,25,250,7,2,1,2,3.73,2,0,0,0,0,0,0,1
243,295,1303240,1,120,0,6,3,10,1,0.08,1,0,0,0,1,0,0,0
244,50,1305895,0,50,400,1,1,4,1,0.07,2,0,1,0,0,1,0,0
245,140,1309666,1,75,100,4,1,4,4,0.28,1,0,0,0,0,0,0,1
246,135,1313448,1,0,0,4,1,3,1,0.14,1,0,0,0,1,0,0,0
247,60,1349175,2,25,100,4,1,2,2,4.89,2,0,1,0,0,0,0,1
