ZIP,Airbnb_Rental_Price
90105,219.0
98052,99.0
98101,358.22757697456495
98102,152.0249433106576
98103,128.42243436754177
98104,286.6322188449848
98105,112.15473441108546
98106,100.2132701421801
98107,151.4689440993789
98108,115.34868421052632
98109,183.69458987783594
98112,173.96866096866097
98115,117.50802139037434
98116,151.21455938697318
98117,140.13081395348837
98118,126.735
98119,211.61904761904762
98121,217.8980044345898
98122,145.32831001076426
98125,109.79428571428572
98126,118.056
98133,119.91503267973856
98134,248.11111111111111
98136,139.18333333333334
98144,125.11816192560175
98146,128.24
98155,133.25
98168,87.5
98177,131.4418604651163
98178,116.8695652173913
98199,161.39655172413794
